odf,delta,dataset,sample_index,pair_k,from,to,from_root,to_root,from_qual,to_qual,same_root,detected
spectral-flux,0.1,normal_sustain,0,0,G min,G min,G,G,min,min,True,0
spectral-flux,0.1,normal_sustain,0,1,G min,G dim,G,G,min,dim,True,1
spectral-flux,0.1,normal_sustain,0,2,G dim,G♯ dim,G,G♯,dim,dim,False,1
spectral-flux,0.1,normal_sustain,0,3,G♯ dim,C♯ min,G♯,C♯,dim,min,False,0
spectral-flux,0.1,normal_sustain,0,4,C♯ min,A min,C♯,A,min,min,False,1
spectral-flux,0.1,normal_sustain,0,5,A min,C dim,A,C,min,dim,False,1
spectral-flux,0.1,normal_sustain,0,6,C dim,A min,C,A,dim,min,False,1
spectral-flux,0.1,normal_sustain,0,7,A min,F♯ dim,A,F♯,min,dim,False,1
spectral-flux,0.1,normal_sustain,0,8,F♯ dim,D dim,F♯,D,dim,dim,False,1
spectral-flux,0.1,normal_sustain,1,0,G♯ dim,D♯ dim,G♯,D♯,dim,dim,False,1
spectral-flux,0.1,normal_sustain,1,1,D♯ dim,G♯ min,D♯,G♯,dim,min,False,1
spectral-flux,0.1,normal_sustain,1,2,G♯ min,E dim,G♯,E,min,dim,False,1
spectral-flux,0.1,normal_sustain,1,3,E dim,G♯ min,E,G♯,dim,min,False,1
spectral-flux,0.1,normal_sustain,1,4,G♯ min,C♯ dim,G♯,C♯,min,dim,False,1
spectral-flux,0.1,normal_sustain,1,5,C♯ dim,C dim,C♯,C,dim,dim,False,1
spectral-flux,0.1,normal_sustain,1,6,C dim,E maj,C,E,dim,maj,False,1
spectral-flux,0.1,normal_sustain,1,7,E maj,F♯ min,E,F♯,maj,min,False,1
spectral-flux,0.1,normal_sustain,1,8,F♯ min,G min,F♯,G,min,min,False,1
spectral-flux,0.1,normal_sustain,2,0,A min,B min,A,B,min,min,False,1
spectral-flux,0.1,normal_sustain,2,1,B min,D♯ min,B,D♯,min,min,False,0
spectral-flux,0.1,normal_sustain,2,2,D♯ min,D min,D♯,D,min,min,False,1
spectral-flux,0.1,normal_sustain,2,3,D min,C dim,D,C,min,dim,False,1
spectral-flux,0.1,normal_sustain,2,4,C dim,F min,C,F,dim,min,False,1
spectral-flux,0.1,normal_sustain,2,5,F min,B maj,F,B,min,maj,False,1
spectral-flux,0.1,normal_sustain,2,6,B maj,E maj,B,E,maj,maj,False,0
spectral-flux,0.1,normal_sustain,2,7,E maj,C♯ maj,E,C♯,maj,maj,False,1
spectral-flux,0.1,normal_sustain,2,8,C♯ maj,G♯ min,C♯,G♯,maj,min,False,1
spectral-flux,0.1,normal_sustain,3,0,A maj,B dim,A,B,maj,dim,False,1
spectral-flux,0.1,normal_sustain,3,1,B dim,G♯ dim,B,G♯,dim,dim,False,1
spectral-flux,0.1,normal_sustain,3,2,G♯ dim,D min,G♯,D,dim,min,False,1
spectral-flux,0.1,normal_sustain,3,3,D min,A maj,D,A,min,maj,False,1
spectral-flux,0.1,normal_sustain,3,4,A maj,C maj,A,C,maj,maj,False,1
spectral-flux,0.1,normal_sustain,3,5,C maj,F dim,C,F,maj,dim,False,1
spectral-flux,0.1,normal_sustain,3,6,F dim,A min,F,A,dim,min,False,1
spectral-flux,0.1,normal_sustain,3,7,A min,G♯ dim,A,G♯,min,dim,False,1
spectral-flux,0.1,normal_sustain,3,8,G♯ dim,C♯ dim,G♯,C♯,dim,dim,False,1
spectral-flux,0.1,normal_sustain,4,0,G min,E maj,G,E,min,maj,False,1
spectral-flux,0.1,normal_sustain,4,1,E maj,D♯ maj,E,D♯,maj,maj,False,1
spectral-flux,0.1,normal_sustain,4,2,D♯ maj,A♯ dim,D♯,A♯,maj,dim,False,0
spectral-flux,0.1,normal_sustain,4,3,A♯ dim,D♯ min,A♯,D♯,dim,min,False,0
spectral-flux,0.1,normal_sustain,4,4,D♯ min,C dim,D♯,C,min,dim,False,0
spectral-flux,0.1,normal_sustain,4,5,C dim,C♯ min,C,C♯,dim,min,False,1
spectral-flux,0.1,normal_sustain,4,6,C♯ min,B min,C♯,B,min,min,False,1
spectral-flux,0.1,normal_sustain,4,7,B min,F dim,B,F,min,dim,False,1
spectral-flux,0.1,normal_sustain,4,8,F dim,G♯ maj,F,G♯,dim,maj,False,1
spectral-flux,0.1,normal_sustain,5,0,G♯ min,D♯ maj,G♯,D♯,min,maj,False,1
spectral-flux,0.1,normal_sustain,5,1,D♯ maj,C dim,D♯,C,maj,dim,False,1
spectral-flux,0.1,normal_sustain,5,2,C dim,G min,C,G,dim,min,False,1
spectral-flux,0.1,normal_sustain,5,3,G min,F maj,G,F,min,maj,False,1
spectral-flux,0.1,normal_sustain,5,4,F maj,G♯ min,F,G♯,maj,min,False,1
spectral-flux,0.1,normal_sustain,5,5,G♯ min,C maj,G♯,C,min,maj,False,0
spectral-flux,0.1,normal_sustain,5,6,C maj,C dim,C,C,maj,dim,True,1
spectral-flux,0.1,normal_sustain,5,7,C dim,F♯ min,C,F♯,dim,min,False,1
spectral-flux,0.1,normal_sustain,5,8,F♯ min,F♯ min,F♯,F♯,min,min,True,0
spectral-flux,0.1,normal_sustain,6,0,F♯ maj,D♯ maj,F♯,D♯,maj,maj,False,1
spectral-flux,0.1,normal_sustain,6,1,D♯ maj,D♯ maj,D♯,D♯,maj,maj,True,0
spectral-flux,0.1,normal_sustain,6,2,D♯ maj,C♯ min,D♯,C♯,maj,min,False,1
spectral-flux,0.1,normal_sustain,6,3,C♯ min,C♯ maj,C♯,C♯,min,maj,True,0
spectral-flux,0.1,normal_sustain,6,4,C♯ maj,A♯ dim,C♯,A♯,maj,dim,False,1
spectral-flux,0.1,normal_sustain,6,5,A♯ dim,F maj,A♯,F,dim,maj,False,0
spectral-flux,0.1,normal_sustain,6,6,F maj,F dim,F,F,maj,dim,True,1
spectral-flux,0.1,normal_sustain,6,7,F dim,A maj,F,A,dim,maj,False,1
spectral-flux,0.1,normal_sustain,6,8,A maj,A min,A,A,maj,min,True,1
spectral-flux,0.1,normal_sustain,7,0,C maj,F♯ min,C,F♯,maj,min,False,1
spectral-flux,0.1,normal_sustain,7,1,F♯ min,B min,F♯,B,min,min,False,1
spectral-flux,0.1,normal_sustain,7,2,B min,C min,B,C,min,min,False,0
spectral-flux,0.1,normal_sustain,7,3,C min,G♯ dim,C,G♯,min,dim,False,1
spectral-flux,0.1,normal_sustain,7,4,G♯ dim,F min,G♯,F,dim,min,False,1
spectral-flux,0.1,normal_sustain,7,5,F min,G min,F,G,min,min,False,1
spectral-flux,0.1,normal_sustain,7,6,G min,G♯ dim,G,G♯,min,dim,False,1
spectral-flux,0.1,normal_sustain,7,7,G♯ dim,C♯ min,G♯,C♯,dim,min,False,0
spectral-flux,0.1,normal_sustain,7,8,C♯ min,G♯ dim,C♯,G♯,min,dim,False,1
spectral-flux,0.1,normal_sustain,8,0,G dim,G maj,G,G,dim,maj,True,1
spectral-flux,0.1,normal_sustain,8,1,G maj,G min,G,G,maj,min,True,1
spectral-flux,0.1,normal_sustain,8,2,G min,A min,G,A,min,min,False,0
spectral-flux,0.1,normal_sustain,8,3,A min,D♯ min,A,D♯,min,min,False,1
spectral-flux,0.1,normal_sustain,8,4,D♯ min,C♯ maj,D♯,C♯,min,maj,False,1
spectral-flux,0.1,normal_sustain,8,5,C♯ maj,F♯ maj,C♯,F♯,maj,maj,False,1
spectral-flux,0.1,normal_sustain,8,6,F♯ maj,C♯ maj,F♯,C♯,maj,maj,False,1
spectral-flux,0.1,normal_sustain,8,7,C♯ maj,F♯ maj,C♯,F♯,maj,maj,False,1
spectral-flux,0.1,normal_sustain,8,8,F♯ maj,F maj,F♯,F,maj,maj,False,1
spectral-flux,0.1,normal_sustain,9,0,D♯ maj,F♯ min,D♯,F♯,maj,min,False,1
spectral-flux,0.1,normal_sustain,9,1,F♯ min,D♯ maj,F♯,D♯,min,maj,False,1
spectral-flux,0.1,normal_sustain,9,2,D♯ maj,C min,D♯,C,maj,min,False,1
spectral-flux,0.1,normal_sustain,9,3,C min,B maj,C,B,min,maj,False,1
spectral-flux,0.1,normal_sustain,9,4,B maj,G♯ min,B,G♯,maj,min,False,1
spectral-flux,0.1,normal_sustain,9,5,G♯ min,F♯ dim,G♯,F♯,min,dim,False,1
spectral-flux,0.1,normal_sustain,9,6,F♯ dim,A dim,F♯,A,dim,dim,False,0
spectral-flux,0.1,normal_sustain,9,7,A dim,C♯ min,A,C♯,dim,min,False,0
spectral-flux,0.1,normal_sustain,9,8,C♯ min,E maj,C♯,E,min,maj,False,1
spectral-flux,0.1,broken_sustain,0,0,A♯ min,G♯ min,A♯,G♯,min,min,False,1
spectral-flux,0.1,broken_sustain,0,1,G♯ min,C maj,G♯,C,min,maj,False,1
spectral-flux,0.1,broken_sustain,0,2,C maj,C♯ min,C,C♯,maj,min,False,1
spectral-flux,0.1,broken_sustain,0,3,C♯ min,D dim,C♯,D,min,dim,False,1
spectral-flux,0.1,broken_sustain,0,4,D dim,C♯ min,D,C♯,dim,min,False,1
spectral-flux,0.1,broken_sustain,0,5,C♯ min,C maj,C♯,C,min,maj,False,1
spectral-flux,0.1,broken_sustain,0,6,C maj,B min,C,B,maj,min,False,0
spectral-flux,0.1,broken_sustain,0,7,B min,A min,B,A,min,min,False,0
spectral-flux,0.1,broken_sustain,0,8,A min,C♯ dim,A,C♯,min,dim,False,1
spectral-flux,0.1,broken_sustain,1,0,C♯ dim,A dim,C♯,A,dim,dim,False,0
spectral-flux,0.1,broken_sustain,1,1,A dim,G dim,A,G,dim,dim,False,0
spectral-flux,0.1,broken_sustain,1,2,G dim,C♯ maj,G,C♯,dim,maj,False,1
spectral-flux,0.1,broken_sustain,1,3,C♯ maj,C♯ dim,C♯,C♯,maj,dim,True,1
spectral-flux,0.1,broken_sustain,1,4,C♯ dim,C dim,C♯,C,dim,dim,False,1
spectral-flux,0.1,broken_sustain,1,5,C dim,C maj,C,C,dim,maj,True,1
spectral-flux,0.1,broken_sustain,1,6,C maj,G♯ dim,C,G♯,maj,dim,False,1
spectral-flux,0.1,broken_sustain,1,7,G♯ dim,G♯ maj,G♯,G♯,dim,maj,True,1
spectral-flux,0.1,broken_sustain,1,8,G♯ maj,E min,G♯,E,maj,min,False,1
spectral-flux,0.1,broken_sustain,2,0,F maj,D maj,F,D,maj,maj,False,1
spectral-flux,0.1,broken_sustain,2,1,D maj,D min,D,D,maj,min,True,0
spectral-flux,0.1,broken_sustain,2,2,D min,G dim,D,G,min,dim,False,0
spectral-flux,0.1,broken_sustain,2,3,G dim,G dim,G,G,dim,dim,True,0
spectral-flux,0.1,broken_sustain,2,4,G dim,C♯ maj,G,C♯,dim,maj,False,0
spectral-flux,0.1,broken_sustain,2,5,C♯ maj,A♯ maj,C♯,A♯,maj,maj,False,1
spectral-flux,0.1,broken_sustain,2,6,A♯ maj,C maj,A♯,C,maj,maj,False,0
spectral-flux,0.1,broken_sustain,2,7,C maj,D maj,C,D,maj,maj,False,0
